DF  ,P,0.2,0.1,0.05,0.02,0.01,0.005,0.002,0.001
1,,3.078,6.314,12.706,31.82,63.657,127.321,318.309,636.619
2,,1.886,2.92,4.303,6.965,9.925,14.089,22.327,31.599
3,,1.638,2.353,3.182,4.541,5.841,7.453,10.215,12.924
4,,1.533,2.132,2.776,3.747,4.604,5.598,7.173,8.61
5,,1.476,2.015,2.571,3.365,4.032,4.773,5.893,6.869
6,,1.44,1.943,2.447,3.143,3.707,4.317,5.208,5.959
7,,1.415,1.895,2.365,2.998,3.499,4.029,4.785,5.408
8,,1.397,1.86,2.306,2.897,3.355,3.833,4.501,5.041
9,,1.383,1.833,2.262,2.821,3.25,3.69,4.297,4.781
10,,1.372,1.812,2.228,2.764,3.169,3.581,4.144,4.587
11,,1.363,1.796,2.201,2.718,3.106,3.497,4.025,4.437
12,,1.356,1.782,2.179,2.681,3.055,3.428,3.93,4.318
13,,1.35,1.771,2.16,2.65,3.012,3.372,3.852,4.221
14,,1.345,1.761,2.145,2.625,2.977,3.326,3.787,4.14
15,,1.341,1.753,2.131,2.602,2.947,3.286,3.733,4.073
16,,1.337,1.746,2.12,2.584,2.921,3.252,3.686,4.015
17,,1.333,1.74,2.11,2.567,2.898,3.222,3.646,3.965
18,,1.33,1.734,2.101,2.552,2.878,3.197,3.61,3.922
19,,1.328,1.729,2.093,2.539,2.861,3.174,3.579,3.883
20,,1.325,1.725,2.086,2.528,2.845,3.153,3.552,3.85
21,,1.323,1.721,2.08,2.518,2.831,3.135,3.527,3.819
22,,1.321,1.717,2.074,2.508,2.819,3.119,3.505,3.792
23,,1.319,1.714,2.069,2.5,2.807,3.104,3.485,3.768
24,,1.318,1.711,2.064,2.492,2.797,3.09,3.467,3.745
25,,1.316,1.708,2.06,2.485,2.787,3.078,3.45,3.725
